CATAID,RA,DEC,NQ,Z_TONRY,DM_70_25_75
47254,212.00217,-0.82182,5,0.0556788,36.9797
47258,212.0267,-0.82123,5,0.052906,36.8642
47290,212.06743,-0.72791,5,0.0530853,36.8718
47293,212.08021,-0.64828,5,0.0534452,36.8871
47295,212.08556,-0.67546,5,0.0534452,36.8871
47296,212.09542,-0.74621,5,0.0802388,37.8126
47325,212.34849,-0.78799,5,0.0709767,37.5315
47348,212.39491,-0.81996,5,0.0837972,37.9124
47369,212.6118,-0.83238,5,0.0263153,35.3033
47374,212.62366,-0.70255,5,0.0799999,37.8057
47445,212.9753,-0.80006,5,0.0987106,38.2913
47460,213.06501,-0.63305,5,0.0264918,35.3181
47464,213.10118,-0.73205,5,0.055331,36.9655
47493,213.10358,-0.83203,5,0.0269032,35.3523
47500,213.25284,-0.83108,5,0.0269693,35.3578
47507,213.14731,-0.66182,5,0.0710837,37.535
47555,213.29415,-0.719,5,0.0837023,37.9098
47558,213.30285,-0.75222,5,0.0710114,37.5327
47652,213.60343,-0.82934,5,0.0405005,36.2635
47654,213.62264,-0.64043,5,0.0724871,37.5797
47657,213.70129,-0.6872,5,0.0979176,38.2726
47674,213.75264,-0.79695,5,0.0393571,36.1994
47686,213.78576,-0.78299,5,0.0389262,36.1748
47753,214.12061,-0.74389,5,0.0496298,36.7201
47759,214.04112,-0.63239,5,0.0845604,37.9334
47765,214.14185,-0.6489,5,0.0494591,36.7123
47849,214.58771,-0.74518,5,0.0963815,38.2359
47856,214.56675,-0.73935,5,0.0505333,36.7608
47935,215.09038,-0.83577,5,0.084023,37.9187
47941,215.07181,-0.65318,5,0.0844431,37.9302
47943,215.09685,-0.81925,5,0.0843231,37.9269
48001,215.37196,-0.79755,5,0.085159,37.9497
48010,215.45734,-0.7775,5,0.0558233,36.9856
48013,215.47185,-0.67142,5,0.0733572,37.6071
48016,215.48581,-0.70089,5,0.0513589,36.7973
48040,215.52466,-0.66931,5,0.0557918,36.9844
